,title,artist,lyrics
0,그댈 좋아한다구요,베이비블루(BABY BLUE),오늘도 그 마음 내주질 않네요길었던 겨울도 봄에 비켜주는데한 번 쯤은 돌아볼 법도웃을 법도 하잖아요괜찮아요 그런 날 오겠죠아직도 그녀가 맘에 걸리나 봐가끔씩 멍하니 한 곳만 보네요그녀 떠난 자리를내가 대신할 순 없나봐요괜찮아요 그런 날 오겠죠사실요 그댈 좋아해요그냥 뭐 그렇다구요괜한 혼잣말에 맘 쓰지 마요알아요 아는데 안돼요그대 어디에도 내가 없단 걸 알지만그댈 좋아한다구요며칠 전 집 앞에 데려다주던 밤그 길이 길었다면 참 좋았을텐데바로 옆에 있던그 손을 잡고 싶었지만차마 난 이 말 못했지만사실요 그댈 좋아해요그냥 뭐 그렇다구요괜한 혼잣말에 맘 쓰지 마요알아요 아는데 안돼요그대 어디에도 내가 없단 걸 알지만그댈 좋아한다구요나만 바쁘죠그대만 보라고부지런히 맘에 빛을 내 봐도그대 눈에 띄진 않겠죠참 보면 정말 순진해요어쩜 그리 모르나요그대 하루에는 내가 있는데알아요 알면서 아프죠내가 아니라도 누굴 사랑하겠지만내가 사랑한다구요
1,듣고있나요 (Prod.조영수),케이시 (Kassy),끝내 우린 스쳐 가나요기억 넘어 서로를 지워야 하나요내게 사랑이 준 깊은 상처는어떻게 견디며 살아야 하는지매일 아픈 그리움 속에가슴 텅 빈 채 살아도그대를 사랑했던 일 그것만은 죽어도나 후회하지 않아요그대가 보고 싶을 때미칠 듯 보고 싶을 때그저 한 번씩 나 이렇게남모르게 울면 돼요잊지 말아요 그대여 잊지 말아요내가 늘 그대의 곁에 있음을사랑해요 그대 지금 듣고 있나요그대 내게 올 수 없어도아직 이별은 아니죠먼 길을 돌아언젠가 내게 돌아오려고떠나는 길일 테니까그대가 보고 싶을 땐미칠 듯 보고 싶을 땐그저 한 번씩 나 이렇게남모르게 울면 돼요잊지 말아요 그대여 잊지 말아요내가 늘 그대의 곁에 있음을사랑해요 그대 지금 듣고 있나요언제라도 그댈 기다릴게요먼저 그대가 날 잊는다 해도사랑하니까 내가 더 사랑하니까그대 눈물도 외로움도내가 다 가져갈게요울지 말아요 그대여 울지 말아요세상이 그대를 슬프게 해도사랑해요 그대 지금 듣고 있나요
2,비춰줄 거야,유용호,해가 지고밤이 오고모든 게 다잠이 들 때면하늘은 온통수많은 별너의 위에서춤을 추고 있어눈을 감으면더욱 빛나는 것보이지 않으니그저 믿으면 돼불안할 때도네가 슬플 때도언제나 네 곁을지켜줄 거야시간이 흘러많은 게 변하고무뎌지게 되더라도이 마음은 여기에 남아서툴던 우릴 비춰줄 거야치기 어리던서툰 표현에도설레 잠 못 들던우리가 있었고마냥 웃다 보면너로 가득해서새벽을 깨우던우리가 있었어시간이 흘러많은 게 변하고무뎌지게 되더라도이 마음은 여기에 남아서툴던 우릴 비춰줄 거야오늘 더 말할게너를 좋아해이 맘 다 알 수 있도록많이 사랑해 너를 영원토록나 나나 나나나나나나 나나나 나나 나나나나나나 나나
3,봄 그리고 밤,연희다방,가만히 느껴지는 바람아찔하게 스치는 향기이렇게 모른 척만 하다가는금세 지나가 버릴 계절 같아주책 같아도 여는 창문날 부르는 봄 그리고 밤새로 산 신발을 꺼내 본다괜스레 전화를 걸어본다함께 걷자목소리 들으며같은 하늘같은 달 아래서내 바람이 닿는 전화 너머설레는 맘은 들리지 않길같이 걷자같은 봄을 맞으며어쩌면 밤새 걸을지 몰라네 숨결이 닿는 전화 너머떨리는 맘은 들리지 않길오늘도 그저 그런 하루지금 이 시간 문자 한 통이렇게 모른 척만 하다가는웃으며 널 못 볼 것만 같아서아무렇지 않은 척 해도날 깨우는 봄 그리고 밤홀로 걷고 있던 골목길이네 생각으로 가득하더라고함께 걷자목소리 들으며같은 하늘같은 달 아래서내 바람이 닿는 전화 너머설레는 맘은 들리지 않길같이 걷자같은 봄을 맞으며어쩌면 밤새 걸을지 몰라네 숨결이 닿는 전화 너머떨리는 맘은 들리지 않길함께 걷자목소리 들으며같은 하늘같은 달 아래서내 바람이 닿는 전화 너머설레는 맘은 들리지 않길함께 있는 것 같아서같은 봄을 맞으며어쩌면 밤새 걸을지 몰라네 숨결이 닿는 전화 너머떨리는 맘은 들리지 않길가만히 느껴지는 바람아찔하게 스치는 향기이렇게 모른 척만 하다가는금세 지나가 버릴 계절 같아
4,라라랜드,써커스백,됐어요 이제 그만해요불장난 같은 어린 사랑은 싫어요사실 오래전부터 난아이같은 그대가맘에들지 않았죠한동안 소원했던 친구들과밤새워 미친듯이 놀아볼 거예요마시지 않던 술도끊어버린 담배도다시 시작할꺼야우린 정말 남들이 봐도부러워할 뜨거운 사랑 나눴고헤어지지 않았더라면결혼까지 갔을지 몰라우리들 추억이 그랬다면몇번의 크고 작은 다툼들이서로를 더 이해할꺼라 믿고 있었죠하지만 그럴때마다멀어지는 그대가 얼마나야속했는지도 몰라우린 정말 남들이 봐도부러워할 뜨거운 사랑 나눴고헤어지지 않았더라면결혼까지 갔을지 몰라우리들 추억이 그랬다면우린 정말 사랑했었고우린 끝내 헤어져버렸지만후회는 없으니까 괜찮아더 좋은 사람과행복하다면 난 여기 있을께니가 언제라도놀러 올 수 있게라 라라라라 라라 라라라라
5,사랑은 늘,한의령,찬바람 불던 밤가로수아래 홀로 앉아지나버린 시간의 기억을 되짚어가잔뜩새겨 버린그날의 아쉬움들 만이가득남아 나의 맘에 떠올라사랑을 늘 추억을 주고가그 시간은 늘 나를 맴돌아가득남아 나의 맘에 차올라이제는 다 지나간 이야기로이제는 마지막일 기억으로남아있길 기도해그렇게 잊혀지길 바랄께내가 널 지우는게너무도 겁이 났던걸까아직도 나 너무 니가 그리워사랑을 늘 추억을 주고가그 시간은 늘 나를 맴돌아가득남아 나의 맘에 차올라이제는 다 지나간 이야기로이제는 마지막일 기억으로남아있길 기도해그렇게 잊혀지길 바랄께시간이 멈춘걸까아직도 믿겨 지지가 않아이대로 그만 너를 보내는게정말 나에겐 그것밖에 없을지사랑은 늘 추억을 주고가그 시간은 오늘도 날 맴돌아가득남아 나의 맘에 차올라우리의 시간은 멈췄지만그시간안에 있을 널 기억해덮어둘께 모두언젠간 웃을테니 너와나
6,너와 너의,이상순,어떻게 지내고 있는지 궁금하지만겨우 그러려니 할 수 있게 됐어끝내 듣지 못한 대답도 그대로지만그럴 수도 있는 거지 그럴 테지기다리라는 그 말도다시 만나자는 약속도아마 넌 까맣게 다 잊었을 테지만오늘도 너와 너의 겁 많은 고양이가어제보다 편안하길 기도할게널 용서할 수 있을지그건 아직 모르겠지만나에게 미안할 일 더는 없을 테니그저 너와 너의 잘생긴 고양이가오래오래 행복하길 기도할게내일은 오늘보다 편안하기를내일도 오늘처럼오늘처럼
7,영영,포맨 (4MEN),설마 아닐 거야자꾸 내 눈을 피하는 너아마 아니겠지너의 표정에 써있는 말우린 행복했잖아 사랑했잖아내가 너를 어떻게 영영 영영 떠나널 떠나 나는 하루도 살 수 없어제발 돌아와 다시 내게 돌아와네가 나를 어떻게 영영 떠나나 없이 정말 행복할 것만 같아나는 너를 기다려 영영생각날 것 같아너를 울렸던 기억들만아픈 꿈일 거야모두 거짓말인 것 같아우린 약속했지만 믿고 싶지만내가 너를 어떻게 영영 영영 떠나널 떠나 나는 하루도 살 수 없어제발 돌아와 다시 내게 돌아와네가 나를 어떻게 영영 떠나나 없이 정말 행복할 것만 같아너로 시작해 너로 끝났던 모든 날들떠나가지 마 멀어지지 마네가 떠난 이곳에 영영 기다려넌 몰라 왜 몰라네가 전부인 내 사랑을제발 돌아와 다시 내게 돌아와너와 내가 어떻게 영영못 가 난 못 가너 아니면 안 될 것 같아나는 너를 기다려 영영
8,Love Again,홍지윤,I'm In Love Again지난날 아픔은 잊어익숙한 그대 향기가 맴돌아I'm In Love with You끝이 없는 어둠 속에흐릿해져 가는 아픈 기억들 잊을래아무렇지 않은 척 내 손 잡아줄래유난히 시리도록 아픈 이 밤이야숨 쉴 수가 없어 견디기조차난 너무 힘이 들어서너의 품에 다시 안길래시간이 지나 수많은 상처들이고장 난 시곗바늘처럼 멈춰서서또 우네I'm In Love Again지난날 아픔은 잊어익숙한 그대 향기가 맴돌아I'm In Love with You끝이 없는 어둠 속에흐릿해져 가는 아픈 기억들 잊을래불 꺼진 작은 방우두커니 날 비추는 저 달빛도유난히 쓸쓸해 보이네내 주윌 감싸는 아픈 기억들이차가운 바람처럼 날 또 스쳐 가네I'm In Love Again지난날 아픔은 잊어익숙한 그대 향기가 맴돌아I'm In Love with You끝이 없는 어둠 속에흐릿해져 가는 아픈 기억들 잊을래날 향한 눈빛 포근했던 너의 그 미소가슴속 깊은 흔적으로 남아지울 수 없는 너와의 지난 추억들이오늘 밤 왠지 더 그리워지네이젠 나 널 놓지 않을래
9,어제보다 더 빛날거야,리디아 (Lydia),살다보니까 그런 날도 있더라아무 것 못하는 그런 날안되는 것들 못하는 것들머릿속 생각만 가득나만 이런지 왜 이러는지나도 잘 모르겠어 날웃어볼래 어제보다 더 빛날거야오늘보다 더 아직 두려운게 많지만끝이없는 터널처럼 어두운 길도언젠가 빛이 보일거야별도 잠드는 지금 새벽 세시반나만 혼자 잠들지 못해생각의 생각 또 생각의 생각점점 빠져들고 있어나만 이런지 왜 이러는지나도 잘 모르겠어 날웃어볼래 어제보다 더 빛날거야오늘보다 더 아직 두려운게 많지만끝이없는 터널 처럼 어두운 길도언젠가 빛이 보일거야숨죽여 울던 시간들더이상 내겐 없어웃어볼래 어제보다 더 빛날거야오늘보다 더 아직 두려운게 많지만끝이없는 터널처럼 어두운 길도언젠가 빛이 보일거야
