,title,artist,lyrics
0,캥거루,원슈타인,내가 어딜 가던내게 필요한 건 다너의 주머니 안에 있어정말 소중한 건물어보기도 전부터 다나의 주머니 안에난 네가 하는 말을 싫어했지또 날이 더우면선크림을 바르시라고 선크림챙겨주는 사람은 나이고 싶었는데이렇게 되었어굉장한 실수가 아닌데난 네가 지칠까 봐 걱정이 돼알잖아 난 용서가 쉽지 않은 사람이 불은 도저히 꺼질 기미가도망가 캥거루도망가 캥거루도망가 캥거루도망가 캥거루내가 어딜 가던너의 품이 느껴져보이지 않는 그 안에 있어정말 중요한 건물어보기도 전부터 다나의 주머니 안에난 네가 하는 말을 싫어했지일이 많이 늦으면립글로즈를 깜박 립글로즈챙겨주는 사람은 나이고 싶었는데이렇게 되었어도망가 캥거루도망가 캥거루도망가 캥거루도망가 캥거루내가 이렇지 늘 하며창밖을 내다봤어혹시나 하는 마음에괜히 가방을 열면얌전히 기다리고 있는그 물건을 보며어저께 말없이 바쁜 그 캥거루내가 이렇지 늘 하며창밖을 내다봤어혹시나 하는 마음에괜히 가방을 열면얌전히 기다리고 있는그 물건을 보며어저께 말없이 바쁜 그 캥거루내가 이렇지 늘 하며창밖을 내다봤어혹시나 하는 마음에괜히 가방을 열면얌전히 기다리고 있는그 물건을 보며어저께 말없이 바쁜 그 캥거루
1,그대와 그대와 나와,아롬,간지럼 품은 눈동자에 Zoom in어깨 사이 흔드는 몸짓Tidy light shy 한 옷매무새가벼운 목소리 톤도 좋잖아Let's keep moving자연스레 발을 맞추며그대와 그대와 나와향기로운 맘 가득 취해이젠 나도 몰라 그냥 품에다가갈래 baby그대 눈에 아름다움이홀린 듯 마음을 밝혀그 입술의 향은 다우니사탕같이 uhm-손 틈새로 비치는찰랑 가득 지금 모든 순간완전한 day dayLet's keep moving자연스레 발을 맞추며그대와 그대와 나와향기로운 맘 가득 취해말해 뭐해 그냥 품에 가득히 안고서그대 눈에 아름다움이홀린 듯 마음을 밝혀그 입술의 향은 다우니사탕같이 uhm-손 틈새로 비치는찰랑 가득 지금 모든 순간흐르는 그 눈빛에춤추 듯 마음을 덮쳐이제 그래 마치 브라우니솜털같이 uhm-손 틈새로 비치는찰랑 가득 지금 모든 순간알잖아 day day간지럼 품은 눈동자 줌인어깨 사이 맞닿은 우리Tidy light shy 한 옷매무새어느 것도 부족할리 없잖아
2,About Us (Feat. 유라(youra)),CHE,I’ve been thinking bout us latelyDon’t know what to say괜찮아질 건데 나는 왜헤어질까 생각을 해 난만날 땐 해맑게 웃는데I need some times 고민돼 나너한텐 나밖에 없는데시간은 흘러가는데 어째 언제말할지 몰라 난언젠간 마주칠 텐데I don’t want to lie lie lie하면 안 되는데I don’t know why한번 말해볼까 하면 또 안돼I’ve been thinking bout us latelyDon’t know what to say괜찮아질 건데 나는 왜헤어질까 생각을해 난만날 땐 해맑게 웃는데I need some times 고민돼 나너한텐 나밖에 없는데아 온다괴로운 표정으로아 버려지는 일은 꽃이 피는봄만큼 빠르게아 사라지기 위해서 네 몸을태워내고 살았구나허공 속에 사는 재였구나타기도 좋게 사방이 그냥 벽이었구나거짓말투성이였어망설일 시간에 난 함부로 너를 안았어바닥끝에 날 메우고변신을 하고 있었어함부로 너를 안았어더러운 형태가 됐어아름다움은 뒤집혀I don’t wanna feel sorry이게 내 맘인데I don’t wanna feel sorryI’ve been thinking bout us latelyDon’t know what to say괜찮아질 건데 나는 왜헤어질까 생각을 해 난만날 땐 해맑게 웃는데I need some times 고민돼 나너한텐 나밖에 없는데I don’t wanna feel sorry이게 내 맘인데I don’t wanna feel sorry
3,Night Ride,Jade.L,어딜 가고 싶어Baby let’s go take that highway삭막한 도시 속을벗어나면 보이는 woo ahthat’s my paradiseBaby take my handSo we can fly awaySo high어떤 것도 상관없어한눈 팔 수 있음We can tryOh I got headache 9 to 5숨 막히는 데서 I’ll take you out아무 걱정 하지 마So tell me if you wanna goride with meSmash itLet’s fade away with meWe gon’ through the nightBaby I got tensions종일 기다렸어Escape with me tonight어디든 상관없어Just sit back play the musicnext to meOh I got headache 9 to 5숨 막히는 데서 I’ll take you out아무 걱정 하지 마So tell me if you wanna goride with meSmash itLet’s fade away with meWe gon’ through the nightUnder moonlightafter goodbye모두 잠든 시간에널 데리러 갈게We’ll be back before the sun riseput your worries behindKeep it in another dayoh baby that’s alrightJust let something gone in your minddo what you wanna doand ride with meall nightLet’s fade away with meWe gon’ through the night
4,With You,네이비쿼카 (NavyQuokka),해가 뜨는 순간도 날이 저물 때도매일 함께해 준 너에게 고마워지는 해를 보면서 날 사랑한다고말해주는 네가 있어서 난 고마워I’m falling in love with you아직도 널 보면 음구름 위를 걷는 기분이 들어I’m falling in love with you날 바라보는눈빛 속에 빠져버린 것 같아설레는 기분 매일을 봐도질리지가 않아 넌 같은 맘인가 봐Forever wanna be with you해가 뜨는 순간도 날이 저물 때도매일 함께해 준 너에게 고마워지는 해를 보면서 날 사랑한다고말해주는 네가 있어서 난설레는 기분 매일을 봐도질리지가 않아 넌 같은 맘인가 봐Forever wanna be with you해가 뜨는 순간도 날이 저물 때도매일 함께해 준 너에게 고마워지는 해를 보면서 날 사랑한다고말해주는해가 뜨는 순간도 날이 저물 때도매일 함께해 준 너에게 고마워
5,HIPBUM (엉덩이가 화났어),유리(YURI),I think I had enough Ah 내맘을 살살 녹이더니 너의 여자가 되어주니 결국 본색을 드러내는구나 Ah 나에게 다정한 척 하며 센스있는 쿠폰들로 선물하더니 특별한 날엔 다 의미없이 지나더라 넌 알고보니 다 여기저기 아무 여자에겐 기본 하트도 날리고 한두명도 아닌데 나쁜놈 쉬운놈 얌전한 고양이 부뚜막에 오른놈 양아치 같은놈 착한척 깊은척 못된놈 널 믿은게 내인생 최고로 후회되는 짓 미친듯 계단을 짖밟고 뛰었어 온몸이 주르륵주르륵주르륵 눈물도 아까워 흠뻑 다 젖었어 뜨겁게 내 엉덩이가 화났어 Ah 이별을 다들 겪고 나면 맘이 아프고 그리워 하는데 난 널 정말 좋아한게 아니구나 화만 나니깐 Ah 너와의 시간 돌아보니 떠오르는 추억 하나도 없구나 제길 제대로 된 데이트 한번 없었구나 Real Poker face You fooled me you lie 시간만 날리고 책임감도 넌 Zero 저리가 이젠 끝 Yeah 나쁜놈 쉬운놈 얌전한 고양이 부뚜막에 오른놈 양아치 같은놈 착한척 깊은척 못된놈 널 믿은게 내인생 최고로 후회되는 짓 미친듯 계단을 짖밟고 뛰었어 온몸이 주르륵주르륵주르륵 눈물도 아까워 흠뻑 다 젖었어 뜨겁게 내 엉덩이가 화났어 너가 하도 절박해서 궁금해서 만나봤어 내가 입으론 ok 라 대답 했지만 난 단 한번도 널 내 남자라고 안쳤어 도둑놈 조심하라는 test일 뿐였어 너에게 걸린건 마치 보이스피싱 같아 너 혼자사는 정리 안된 엉망인 방 처럼 이별도 마무리 깨끗하게 못하는 놈 쓰레기 같은 싸이코같은 수준 낮은놈 이기적인 못난 놈 더러운 놈 나쁜놈 쉬운놈 얌전한 고양이부뚜막에 오른놈양아치 같은놈착한척 깊은척 못된놈 널 믿은게내인생 최고로 후회되는 짓미친듯 계단을 짖밟고 뛰었어온몸이 주르륵주르륵주르륵눈물도 아까워 흠뻑 다 젖었어뜨겁게 내 엉덩이가 화났어
6,Dancing in my closet (Feat. 이고도),정바스,Can I close to youJust moving onPlay a love songand just moving onmoving onWatching the breathWatching the breath’til the cup is filledwith the light of dawnOh Watching the breath’cause trees are stick aroundUmmJust I’ll stick with youGet closerCome with meGet closerCome with meCan I dress youto make your feeling goodI’m gonna dance for youto your feeling goodyour feeling goodWatching the breathWatching the breath’til the cup is filledwith the light of dawnOh Watching the breath’cause trees are stick aroundUmmJust I’ll stick with youGet closerCome with meGet closerCome with meGet closerCome with meGet closerCome with me
7,Starlight,로민,불은 꺼지고 잠이 드는 거리조용한 밤 난 무슨 꿈을 꾸는지때론 치가 떨려 그냥 웃어 넘겨이게 끝이라도별이 없는 곳에서도항상 빛난다고 내게 말해주던 너위험하겠지만 쉽진 않겠지만다시 일으켜줄 그 빛을 따라서 ohI see the starlightbeautiful starlight이 어둠 속 날 비추는 너란 사람oh that I knowI see the starlightbeautiful starlight다 지나가게 보이지 않게너만 들을 수 있게노래해 starlight별이 없는 곳에서도항상 빛난다고 내게 말해주던 너위험하겠지만 쉽진 않겠지만다시 일으켜줄 그 빛을 따라서 ohI see the starlightbeautiful starlight이 어둠 속 날 비추는 너란 사람oh that I knowI see the starlightbeautiful starlight다 지나가게 보이지 않게너만 들을 수 있게노래해I see the starlightbeautiful starlight이 어둠 속 날 비추는 너란 사람oh that I knowI see the starlightbeautiful starlight다 지나가게 보이지 않게너만 들을 수 있게노래해 starlight
8,점,전동욱,구름사이 저 멀리 둥근 달그날 밤을 나는 기억해더 없이 예뻐보이던 너를가슴에 품고 말았어그날 밤 너와 나마치 연인같던 순간의문이 드는 순간그러나 정말꾹꾹 눌렀던 내 맘더 이상 숨길 수 없어널 가지고 싶어오늘 밤에 맥주 한 잔짧게 어떠니너무 길진 않을꺼니두잔 어떠니너와 함께 하고 싶어내 목에 점처럼이젠 빼도 박도 못하는너 그런 여자야동이 트고 햇살이 비칠 때아이 같던 널 기억해내 옆에 있던 널 보았을 때결심을 하고 말았어그날 밤 너와 나잠들지 않던 순간긴장이 되는 순간그러나 정말꾹꾹 눌렀던 내 맘더 이상 숨길 수 없어널 가지고 싶어오늘 밤에 맥주 한 잔짧게 어떠니너무 길진 않을꺼니두잔 어떠니너와 함께 하고 싶어내 목에 점처럼이젠 빼도 박도 못하는너 그런 여자야
9,City boy (Feat. Yelloasis),Yagoblin,선을 넘어버린 걸까아직은 표정의 변화는 없어다행인지 한숨을 내쉬어야 할까이해를 하기엔 좀 미숙한 건 인정i love you 써서 카톡 하긴 일러다행히도 너는 나의 마음을 알아유난히 표정이 더 어두워괜히 말 잘못 걸며 더듬어보기 전에 눈치 보며너를 달래며 팔베개 누워그 다음 다음 다음떨어지는 너의 손에 닿은 다음나의 이야기를 들려준 다음너의 속으로백 번 더 잔을 채워줘술에 취해baby 내가 뭘 잘못해도날 이쁘게 볼 수 있게그대로 점점 점점점떨어져 너의 물감 위로오늘따라 진해 보여향기 보다 진해보이지 않는 연기보다술보다 진할까 네가그럼 보여줘조용하게 너의 옆에 누운 다음향기를 두른 나를 지긋이 쳐다보는 너새벽 아래 물을 뜨러 가는 여신과 같아몰래 훔쳐보다 눈이 맞아결혼하는 전래동화 같아춤을 추자고 발을 맞춰 리듬 타자고먼저 잔을 비우자서로만 의지할 수 있게백 번 더 잔을 채워줘술에 취해baby 내가 뭘 잘못해도날 이쁘게 볼 수 있게그대로 점 점 점 점 점떨어져 너의 물감 위로오늘따라 진해 보여향기 보다 진해보이지 않는 연기보다술보다 진할까 네가그럼 보여줘
