,title,artist,lyrics
0,"이미 다 해봤어 (Feat. EK, COVA, GV, Make A Movie)",Neal,이미 다 해봤어이미 다 가봤어이미 다 해봤어Yeah you know wussup이미 다 해봤어이미 다 가봤어이미 다 해봤어Yeah you know wussupThey hate 마음대로 떠들어그러나 우리가 해놓은 것에너넨 절대 손댈 수 없어이미 다 해봤어이미 다 가봤어이미 다 해봤어Yeah you know wussup없는 게 싫어서 미친 듯이 벌었어Nothing easy 같이 살아나눠 먹고 나눠 쓰고 나눠 피고의지하고 위로하고 응원하고눈물도 흘리면서Break dancebig Issue trouble maker MBAunderground New춤만 추다가이제 부르고 있어네들 앞에더 달려더 불러더 춤춰세상에 보여줄게we are MBA이미 다 해봤어이미 다 가봤어이미 다 해봤어Yeah you know wussup이미 다 해봤어이미 다 가봤어이미 다 해봤어Yeah you know wussup이미 다 해봤고쌓인 건 새끼들뿐하루 온종일 더Run it upRun it upRollin' up 펴대고난 그저 매일이 stoner필요도 없어 난 프로모MBA 위 더 높이 걸어Fake은 걸러california LoVe itI JusT wAnnA fucKed ' up flow aeVerYdaY so hiGh 먹어라 pOpOhit it hit ithit it hit it내 멋을 알아본 그녀는 오늘도 얼어바뀐 건 돈 버는 생각이지바라던 바대로 단단해진MBA 8년째 유지한 팀이런 거 쉽지 않지그래도 이어가 우리는 다 이기지상처가 커져도 믿는 도끼마치 난 논리\왕 like 전기믿은 내 잘못임갈 길이 멀어 여기서 못 멈춰쌓여간 마일리지 털어MBA foreverMBA Make A MovieNetflix we go up못 믿음 너도 느끼고이미 다 해봤고이미 다 해봤어이미 다 해왔어이미 다 해봤어이미 다 가봤어이미 다 해봤어Yeah you know wussup이미 다 해봤어이미 다 가봤어이미 다 해봤어Yeah you know wussupThey hate 마음대로 떠들어그러나 우리가 해놓은 것에너넨 절대 손댈 수 없어이미 다 해봤어이미 다 가봤어이미 다 해봤어Yeah you know wussupMBA we keep it mobbing너넨 말로만 친구지너넨 말로만 친하지너넨 말로만 패밀리우린 전부 참아냈지캘리에서 pop that거품 빼고 가지 쇼미이건 아냐 크루 놀이Neal On The Beat쟤넨 뭉치면 무너져쟤넨 뭉치면 흩어져이건 돈으로도 못해 병신넌 믿지도 못해 네 살기 바빠서유지하는 비결 뭐죠마치 비밀 소스 비법마치 우탱 아니 전설개소리는 개소리뱀 물어뜯는 오소리7년 해도 달려가지 겁 없이너네는 또 누구니착각은 자유라지만 but 유분수지생색내는 새끼 떼라 생식기이미 다 해봤어이미 다 가봤어이미 다 해봤어Yeah you know wussup이미 다 해봤어이미 다 가봤어이미 다 해봤어Yeah you know wussupThey hate 마음대로 떠들어그러나 우리가 해놓은 것에너넨 절대 손댈 수 없어이미 다 해봤어이미 다 가봤어이미 다 해봤어Yeah you know wussup
1,바디필로우 (Feat. 에이민) (Prod. By 전우림),정종인 (illionoah),I wanna be your Body Pillow이 밤이 가기 전에 허릴 쥐어날 감은 네 손엔향긋한 다우니의 향기가 나날 보는 미소엔 숨이 안나와I'm your pillow네가 내 팔을 베고 누울 때면우리 사이에감도는 분위기가 어지러워 난이렇게 보내기엔 아쉬운 밤이야내가 네 기억 속에 남았으면 해너를 내 품 안에 안았으면 해Let's pull-up all nighter오늘 이 밤이우리에게 추억이 될 수 있게내 손을 잡아줘 손이 너무 시려워그 손으로 감싸줘 나를 곁에 남겨 널봄의 한 구절의 시로 남겨두고 싶어여름에도 볼 수 있게I wanna be your Body Pillow이 밤이 가기 전에 허릴 쥐어날 감은 네 손엔향긋한 다우니의 향기가 나날 보는 미소엔 숨이 안나와I'm your pillow네가 내 팔을 베고 누울 때면우리 사이에감도는 분위기가 어지러워 난이렇게 보내기엔 아쉬운 밤이야처음 봤던 순간잊혀지지 않던 그 밤내 옆에 있어 주길바랬는지 몰라티 나지 않게저물어가는 이 밤 속 안에너와 나 둘만 남겨 놓은 채바랄 게 없는오늘을 남길래I wanna be your Body Pillow이 밤이 가기 전에 우릴 믿어날 안은 네 손엔너만이 가진 네 향기가 나날 보는 미소엔 너로 가득 차I'm your pillow네가 내 팔을 베고 누울 때면우리 사이엔감도는 분위기에 취해버려 나이렇게 보내기엔 아쉬운 밤이야I wanna be your Body Pillow지금 달려갈게 너의 품으로꼭 잡은 두 손엔벌써부터 미래를 그리며 난설레발을 쳐 어째 나 미쳤나봐I'm your pillow서로의 눈이 마주친 그때로우리 사이에감도는 분위기에 취해버려 난이렇게 보내기엔 아쉬운 걸까
2,"Dream down (feat. myboypeter, EK)",우림,i always keep in drawingdrippin lot of water tho지날수록 느껴 왜갈수록 아파지는 몸가끔은 feel like i’m insane도대체 왜 저러지 왜절대로 모르겠어 내 맘을 다헤집어놔도나를 좀 봐봐 나는 dream down more꿈속에 살아 풀어 긴장 좀급하게 내려가지 비탈로삶이 다 이런거래 난 절대로수긍못해 nah어릴때 남은 상처가 아직도 나를괴롭혀내것이 아닌것에 계속 욕심부려서인가봐사실 자격이 없잖아 벌써 시간은또 time out너무 필요하지 사랑 너가 필요했지아마another side you already knowthis part나를 그냥 두고 가 난 안아파넌 whole in my life i'm tryingto be the RIGHT날 제발 두고가지마 전부 돌아와i always keep in drawingdrippin lot of water tho지날수록 느껴 왜갈수록 아파지는 몸가끔은 feel like i’m insane도대체 왜 저러지 왜절대로 모르겠어 내 맘을 다헤집어놔도나를 좀 봐봐 나는 dream down more꿈속에 살아 풀어 긴장 좀급하게 내려가지 비탈로삶이 다 이런거래 난 절대로수긍못해 nah살다가 보니 그래꿈을 쫓아가던 게이유가 많아지 네나 혼자만 외롭던데아무렇지 않게 해다 너덜 해져있네의도치도 않던 게좆같이 물어보네아무 생각 하기 싫어 입 닫고사라지고 싶은 마음 입 닫고절이 싫음 떠나야지 중이내게 남은 의미는 이제 뭔지 헷갈려난 결국 혼자 남아 짐을 풀어 헤치네이 넓은 서울땅에 내것 하나 없기에떨면서 잤던 그 방의 의미는 어디에겁먹어 살던 그 어린 10살을 살려내답이 어딨어 왜 자꾸 정답을 강요해절대 괜찮지 않아 제발 전부 꺼질래난 결국 혼자 남아 후회 가득 하네왜네 맘에 남긴 내 흔적이 어디 하나없기에i always keep in drawingdrippin lot of water tho지날수록 느껴 왜갈수록 아파지는 몸가끔은 feel like i’m insane도대체 왜 저러지 왜절대로 모르겠어 내 맘을 다헤집어놔도나를 좀 봐봐 나는 dream down more꿈속에 살아 풀어 긴장 좀급하게 내려가지 비탈로삶이 다 이런거래 난 절대로수긍못해 nah
3,Too late (Feat. Razyboyocean),플레이보이트랩 (Flaiboitrap),I ain't tryna f too late Look around they want to f too fast I'll cash move bring it 50 two packs New drip but u wanna 24K I ain't tryna f too lateLook aroundthey want to f too fastI'll cash movebring it 50 two packsNew drip but u wanna 24KI don't need a racksI can't go to backShe said I'm a badasstoo many prada bagRidin' on my legs 24 everydayF around like meI caliin' everydayI callin’ everyday 근데 넌 hoesI just said it u ain't f roseToo late 지나치긴 했어 race남들보다 빠른 paceYou can't f wit my lanes broPop that 터트려 너의 뒤에서I bought it chainCock back 아무도 모르게또 잡아 breakTwo bands 너에게 다가가지만I ain't bragPull up I told'em freinds말해봤자 VS capBit ain't nobady stay신경도 안써 너의 racks얼른 잡아 너의 pan떠나기 위해 잡았어 fam얻어갈래 여기 fame 매일 wake upin the morning VVS's on my neckToo far rolex I want it 매일Too cold VS I perfect fitted neckNo cap my neck this is fitty bandsNo cap my lovethis is Throwin backI ain't tryna f too lateLook aroundthey want to f too fastI'll cash movebring it 50 two packsNew drip but u wanna 24KI don't need a racksI can't go to backShe said I'm a badasstoo many prada bagRidin' on my legs 24 everydayF around like meI caliin' everydayyeah yeah bands on my handbut 내 발엔 still Vans난 더 원해 lotta racks yeahAy these mfs lameain’t no rap money and sitand I X-ray your cap bitay I woke up like this받아 내 wifey 의 kiss너의 가슴팍에는 비수내겐 없는 비수기I pull up on this errday내 재산 마치 폼페이my vision clear 4kI pull up I conquerI spend up my rackscame from B-town to Seoul citywassup with my friends빨라만 가 내 속도 터지겠지 니 속도bounce back like pogo쓸어담아 니 돈도yeah my homiesthey never switched lanes난 믿어왔어 내 성공의 frameit ain’t never gonna be too lateSaid bit I’m on ma wayI ain't tryna f too lateLook aroundthey want to f too fastI'll cash movebring it 50 two packsNew drip but u wanna 24KI don't need a racksI can't go to backShe said I'm a badasstoo many prada bagRidin' on my legs 24 everydayF around like meI caliin' everyday
4,우리엄마,개미친구 (gamichingoo),덜컹덜컹 아빠차 뒤에 누나랑 나랑 조수석엔 항상 우리 엄마 예쁜 우리 엄마가 졸고있어 덜컹덜컹 아빠차 뒤에 누나랑 나랑 조수석엔 항상 우리 엄마 예쁜 우리 엄마가 졸고있어 엄마가 너무좋아 마마보이 flow 어떤 여자도 비교가 안되보이거든 하지만 엄마옆엔 나랑 닮은 더 멋진놈 있어 샷아웃투 아빠 그래서 닮은 여자를 찾아 헤메 멀리 옴 너무편하지만 상처없는 진솔한 talkin uh 내겐 real 설리반 또 최고의 요리사 내 넘버 스웩은 엄마아들로 태어난 생년월이야 음악은 내가 아는 가장 와닿는 표현 그래서 내가 가진 사랑과 닮은 이 걸 불러 엄마 있을까몰라 이보다 아름다운말 베이비시터로써 애들한테 하시는거보며 내가 어떻게 사랑받았는가를 대충 짐작 정돈 돼 복에 겨워 목구멍에 홍수 날듯 울컥 댐 죄책감은 무지에서 오는걸 느껴 희생은 언제나 맴찢 그게 내가 이유일땐 그정도 안끝나서 문제지 난 정말 괜찮아져야해 자본주의가 어쩌면 은혜 갚을수있다고하네 덜컹덜컹 아빠차 뒤에 누나랑 나랑 조수석엔 항상 우리 엄마 예쁜 우리 엄마가 졸고있어 덜컹덜컹 아빠차 뒤에 누나랑 나랑 조수석엔 항상 우리 엄마 예쁜 우리 엄마가 졸고있어 덜컹덜컹 아빠차 뒤에 누나랑 나랑 조수석엔 항상 우리 엄마 예쁜 우리 엄마가 졸고있어 덜컹덜컹아빠차 뒤에누나랑 나랑조수석엔항상우리 엄마예쁜 우리 엄마가 졸고있어
5,코끼리를 삼킨 보아뱀(feat.스카이민혁),허영준,사람들은 보이는 것만 본다겉만 보잖아 진짜 내용은 몰라네가 본건 모자겠지만 은 난 달라내가 본건 보아 뱀 안의 코끼리야힘들어도 달린다 그게 내 원칙이야죽을 때까지 한다 아마 성공한 뒤야시작은 미약 발전은 무한그 형 말이 맞아 그러니 달리자look안되는 건 없지 노력이 답이니못한 게 아니지 안 했지 귀찮으니인생은 비탈길이라며 피하지망하는 애들은 비슷하지 뻔하니그들은 봐 성공한 사람들을재능이라 하고 무시하지 노력을당장 눈에서 보이는 것만 보니깐안쪽은 모르니깐 내용을 모르니깐이미 정해놓은 길만을 선택하라 하네가라 하네 내 의지는 절대 안 중요하네지들이 막아놓고말하지 포기 좀 해라넌 기횔 줘도 못하니너 그만 좀 나대라나한테 계란을 주고바위를 깨라 하니불가능하지 시간이 부족해 너무 많이몸이 안 따라줬다고 난 하고 싶었다고변명이 아니라고 날 제발 믿어주라고답은 하나가 아니야두 눈으로 봤어 아닌걸 알아사람들은 이 사실을 잘 몰라아직 몰라 재능만이 아냐양 한마릴 그려 줄래다시 한마릴 그려 줄래한번 더 다시 그려줄수있니한번 더 다시 그려줄수있니사람들은 보이는 것만을 본다겉만 보잖아 진짜 내용은 몰라네가 본건 모자겠지만 은 난 달라내가 본건 보아 뱀 안의 코끼리야힘들어도 달린다 그게 내 원칙이야죽을 때까지 한다 아마 성공한 뒤야시작은 미약 발전은 무한그 형 말이 맞아 그러니 달리자힙합한다니 내게 모자른 놈그리고 혼내지 토달라서내 꿈을 무시하고 로또나 사러 가는아빠의 뒷 모습은 loser시작할땐 그저 힙찔이이젠 내가 삼킨코끼리를 뱉어 볼게키작던 고삐리는 이젠 어엿한래퍼로 불리지 slatt사람들은 보이는 것만을 본다겉만 보잖아 진짜 내용은 몰라네가 본건 모자겠지만 은 난 달라내가 본건 보아 뱀 안의 코끼리야힘들어도 달린다 그게 내 원칙이야죽을 때까지 한다 아마 성공한 뒤야시작은 미약 발전은 무한그 형 말이 맞아 그러니 달리자
6,Sunday Morning (prod. facethieves),purple coin,물이 쏴아 좀 씻어 잠을 깨고 냉장고는 텅 비었어 내가 마실 주스 빼고 눈동자는 퀭 거울 보며 남은 눈곱 떼고 일은 오늘 안 할래 오늘 안 할래 날씨에 따라 난 안 나가고 플레이 모드 때때로 좀 나와라 연락엔 죄송 방안에 콕 이불 말아 밀린 영화를 보고 Do you know what I mean Know what I mean 이러다가 전화기를 꺼내 피자 바로 되죠 의외로 첨에는 계속 올바른 taster 귀찮은 fuck 메뉴 pick은 easy & faster Do you know what I mean Woo la woo whoo 매일매일이 매일매일 I’m busy in life 휴식이 필요해 난 매일매일이 매일매일 I’m busy in life 휴식이 필요해 난 I need SUNDAY I need SUNDAY MORNING I need SUNDAY I need SUNDAY MORNING 누웠을 때면 yeah 이대로가 좋아 But 계속 그랬을 때는 uh 다시 돌릴 수가 없지 원래 게으름이란 건 마약과도 같아 고민해 나는 백만 번 또다시 난 Go hard 또다시 난 Go hard 또다시 난 Go hard 부스 안에 있다 보니 어두워 해가 벌써 졌네 또다시 난 Go hard 이런 생활이 난 좋아 꿈꾸던 삶을 사니 기분이 매일 같이 birthday 올해 끝날때면 발매 참여곡이 백곡 21년 국힙 신인상은 바로 내꺼 그건 내가 휴일 없이 달린 것의 댓가 그래도 가끔은 쉬고 싶은 기분 드는건 왜일까 매일매일이 매일매일 I’m busy in life 휴식이 필요해 난 매일매일이 매일매일I’m busy in life휴식이 필요해 난I need SUNDAYI need SUNDAY MORNINGI need SUNDAYI need SUNDAY MORNING
7,DIE DIE (Feat. 최엘비) (스터디그룹 X 기리보이),기리보이,호랑이 눈빛넌 쥐구멍에 숨지움찔먹을 수가 없다면 굶지과식해도 배가 고파먹고 먹히고 떨어져난 몇 개의 새벽을 견뎌 냈더니드디어 오늘의 해가 떴다원스텝 투스텝 훅KO 된 너는 순두부Bad boy 벌어 많은paper dollar peso목숨은 하나지만 두 개처럼play work코인을 넣어 노래를 한 곡부르고서 먹어버려 한국계속 나를 방해하는 애들과의 사투눈치게임 같아 마치 화투덤벼 루저스그럼 나는 걔네들을 knock down쓰러져 악당걔네들의 코인을 낚아생각보다 출혈이 상당해그럴 때마다 붕대를 감아투명했던 붕대는 빨간색얼룩이 묻은 내 인생은 TIE DYEDIE DIE DIE DIE내 인생과 싸워 왔지 my lifeDIE DIE DIE DIE이 경기는 지금부터 하이라이트그로기 상태 지금 너무 위험해오 운명의 여신은 날 또 시험해DIE DIE그로기 상태 지금 너무 위험해DIE DIE오 운명의 여신은 나를 시험해DIE DIE그로기 상태 지금 너무 위험해DIE DIE오 운명의 여신은 나를 시험해DIE DIE울 엄마는 말했지어디 가서 맞고 오진 말랬지엄마 말을 잘 듣는 아들이었으니내 교복에 묻은 피는 내 게 아니었지피가 섞인 가래침난 지켰어 울 엄마의 가르침먼저 시비 건 적은 없어 한 번도한 대 맞음 두 배로 갚아 반드시근데 나이를 먹으니걔네들은 아무것도 아니더라고이젠 현실과 싸워 늘어나 상처얜 몇 대를 맞어도쓰러지지 않어 난 섀도우 박서넘어질 때마다 엄마 말을 기억해일어서야 해 심판이 10초 새기 전에먹여야 돼 한방 기회들을 노려이건 언더독의 반란말했잖아 아까 패배자로 살 바에는죽음을 달라 벌처럼 날아나비처럼 쏴 마치무하마드 알리처럼 말이야맞은 데가 아파도 이건 창작고이걸 가사로 바꾼 다음에몇 배로 갚아줘DIE DIE그로기 상태 지금 너무 위험해DIE DIE오 운명의 여신은 나를 시험해DIE DIE그로기 상태 지금 너무 위험해DIE DIE오 운명의 여신은 나를 시험해DIE DIE
8,라 데시마 (feat. 한요한),허클베리피 (Huckleberry P),난생처음 보는 광경난생처음 듣는 함성턱없이 부족한 산소아직 시작도 안 한 전반전선수보다 더 많이 뛰는 supporter오히려 선수들이 관객을 보러오는 진풍경을 목도분위기는 이미 최고조모두가 기다리네여기를 단숨에 정글로 만드는theme song날뛸 준비를 끝낸 킹콩들은서로의 광기를 칭송그 광기에 중독된 이들을 위해구장을 매번 change그럼에도 여전히 소름 돋는 속도로진행되는 좌석의 매진시작도 전에 이미 승리한 듯한기분을 만끽이걸 소문으로만 접한 이들의입에서 흘러나오는 탄식모두 혀를 내둘러다른 팀을 응원하러 온 팬들도이내 이 노래를 다 함께 불러자랑스레 휘날리는 엠블럼H-I-L-I-T-E수 천개 손 모양의 소나기부러질 듯 흔드는 손모가지들이빚어낸 열광의 도가니시작을 알리는 장내 아나운서곧이어 익숙한 전주가 흘러자 모두 목소리를 가다듬어이제 하늘 높이 따라 불러네 가슴에 새겨 둔 로고모두에게 최면을 걸어난생처음 보는 광경난생처음 듣는 함성오늘의 highlight 우리가 받아spotlight 당연춤추고 다 같이 소리도 질러소리도 질러 마음대로 실컷마음대로 실컷쟤네들 시점우리는 미쳐 날뛰는 중일 거야 say워 워어어 워 워어오워 워어어 워 난생처음 보는 광경워 워어어 워 워어오워 워어어 워 난생처음 듣는 함성여기는 수많은 원정팀의 무덤삽시간에 퍼지는 두려움이그대로 드러나는 표정우린 눈을 부릅뜨고 불구경이 바닥 최고의 선수들 역시맛보게 되는 굴욕감평소와는 다르게 움직이는 왼발오른발의 불협화음반면에 나와 DJ 짱가는아주 여유롭게 티키타카앙리 반니 사비이니에스타를 한 번에보는 듯한 착각광신도로 뒤바뀌는 new face믿음으로 이끄는 through pass더 이상 의미 없는 승패say what 우린 대축제4-4-2니 또는 3-5-2니그런 건 그저 숫자놀이틀에 박힌 전술은 다 무의미닥공이 우리들의 교리수천 명이 한꺼번에 경기를 뛰는기분 never know이 희열을 맛보지 못한 이들에겐그깟 공놀이일 뿐두 번 물을 필요도 없이이번 시즌 최고의 경기내년도 내후년도 역시두 번 물을 필요가 없지내가 역대 최고의 선수는 아니지만우리 팀이 최고인 걸 부정하진 마네가 역대 최고의 선수라 할지라도이곳에 들어온 순간부터너의 역할은 그저 관객소리나 질러 우리와 함께난생처음 보는 광경난생처음 듣는 함성오늘의 highlight 우리가 받아spotlight 당연춤추고 다 같이 소리도 질러소리도 질러 마음대로 실컷마음대로 실컷쟤네들 시점우리는 미쳐 날뛰는 중일 거야 say워 워어어 워 워어오워 워어어 워 난생처음 보는 광경워 워어어 워 워어오워 워어어 워 난생처음 듣는 함성워 워어어 워 워어오워 워어어 워워 워어어 워 워어오워 워어어 워
9,ILL LOVE,ZELO (젤로),혼자가 익숙해져 버린 밤이별이 두려워 피하지 난말해 사랑을 원하지만Eh eh eh eh멀쩡한 겉모습 but I’m undressed상처뿐인 마음 근데 난 왜널 찾고 있는지 몰라 어느새스며들어 햇빛처럼 넌 내 안에Last night in a dreamsaw a baby lookin’ like youBut you'll be in the past I’d be a fool걱정만 가득해 난일어나지 않은 미래에 ahSay you love me babyI need a better placeIt’s gon’ be alrightIt’s gon’ be fineI can’t stop thinking’ ‘bout us nowI can’t stop thinking’ ‘bout you nowI’m so into youYou’re the one that I loveand I can’t lieill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill loveDrop top grabbin’her Waist part-time lover I gaze나 사라질 땐 without a traceBut 여전히 내 마음은 heart race충실하고 싶어 감정에놓치는 게 너무 많아이겨내야 해 지난날의흔적이 만든 트라우마더 집착하지 않을게영원이라는 허울에 나Think that I’m blessed널 사랑한다 말하지만우리 멀어질까또 멀어질까날 떠나지 마 yeah끝은 알 수 없지만알아줘 내 맘은 loveI’m so glad to be yoursAnd I Made up my mindknow you want me to be sureGirl I won’t stop oh noI won’t stop oh noI won’t stop oh noI'm gonna get through this‘Cause I’m with yaI can’t stop thinking’ ‘bout us nowI can’t stop thinking’ ‘bout you nowI’m so into youYou’re the one that I loveand I can’t lieill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill loveill love ill love ill love ill love
