,title,artist,lyrics
0,Save,NCT 127,Too many satellites above떨어져도 너에게 데려다줬어We bond it by the love우리는 어디서든 붙어있어On the way memories go난 잊기 싫어 모든 순간들 ohOn the way the melody goesAll the things that in my sight127 til infinite timeSaving you saving me미래의 기억Saving you saving meUnconditionalSaving you saving meMemories of loveAll the things that in my sight127 til infinite timeDanceMemories of loveSave you save me save our memoriesTake you take metake us to infinityMemories of loveSave you save me save our memoriesTake you take metake us to infinityMemories of love같은 자리에 머물던그땐 항상 입가에는 포물선널 만나고 보물섬에 arrival마음 안에 전부 담았어On the way memories go사랑을 멈추기는 싫어 no저기 은하수를 넘어서 goStarlight shining bright127 til infinite timeSaving you saving me미래의 기억Saving you saving meUnconditionalSaving you saving meMemories of loveAll the things that in my sight127 til infinite timeDanceMemories of loveSave you save me save our memoriesTake you take metake us to infinityMemories of loveSave you save me save our memoriesTake you take metake us to infinityMemories of loveUh out of sight out of mindNo longerthey ain’t the same thing시 공간 그 무엇과도우릴 떼어 놓을 수 없으니Out of sight out of mind그거 다 옛말우리 무대는 우주고이건 space operaSaving you saving me미래의 기억Saving you saving meUnconditionalSaving you saving meMemories of loveAll the things that in my sight127 til infinite timeSave you save me save our memoriesTake you take metake us to infinitySave you save me save our memoriesAll the things that in my sightMemories of love
1,Sun Dance (feat.한해),Angelina Danilova,You take me to the stars Flying highway Touching skies I want to sundance together Say you want it too I want to hear it say you do It’s gonna be alright We gonna stay awake yeah Loving like this makes me wonder why Can we exist on the other side If you still doubt me honey don’t play You gotta be honest or walk away One thing you can’t deny for sure Each time we touch it’s not so pure We feel this electricity Let’s run away from this city I want to feel to know to hear tell me now now tell me In dance we are gonna disappear You take me to the stars Flying highway Touching skies I want to sundance together Say you want it too I want to hear it say you do It’s gonna be alright We gonna stay awake yeah it's gonna be alright 준비는 다 끝났으니까 구름 위로 가 i'll take you high 어지러운 삶 제껴 버리고 우리 길을 만들어가 길이 막혀 있음 우리 딴 데로 가 가운데로 아니 그냥 맘대로 가 나한테 밀어버려 책임 내가 다 감싸 안을 테니 더 위로 굴지 말자고 애처럼 첫눈에 spark 일어날 때처럼 첫눈 오는 날 키스할 때처럼 빨리지는 호흡 달라지는 metronome oh yeah 너도 나와 맘이 같은지 oh yeah 내 손을 잡아 따라와 let's sundance It’s time for us to loose our cool you and me let’s go-oh I want to dance for all night long You take me to the starsFlying highwayTouching skiesI want to sundance togetherSay you want it tooI want to hear it say you doIt’s gonna be alrightWe gonna stay awake yeah
2,다른 놈들 말고 나 (feat. 박성호),홍은기 (HONG EUNKI),이리로 와와 날 가르쳐줄게 진짜 사랑하는 법 둘러봐봐 다 그렇고 그래 흔해 흔해 빠진 놈들 비싼 옷 좋은 차로 널 홀려 달콤한 말로 속삭이며 속여 난 그런 놈들과는 달라 진짜를 보여줄게 halo 소원을 빌어 마치 genie in the bottle 세상을 다 줄게 딴 남자와는 달라 보여줄게 너와 나 이곳은 heaven everyday 매일 24/7 어떤 말도 널 대신 표현할 순 없겠어 you are so gorgeous im your soldier ohh baby 널 보는 순간 한순간 얼음이 됐어 난 푹 빠져 버렸어 다른 놈들 말고 바로 나야 네가 찾던 남자는 다름 아닌 나 다른 놈들 말고 바로 나야 네가 찾던 남자는 다름 아닌 나 better better better better than you 잘 모르겠어 네가 날 원하고 있는지 notorious 나 말고 다른 남자 많은지 im serious 어장관리 하는 건 아닌지 알다가도 모르는 게 여자 속맘이라는데 난 믿을래 넌 많고 많은 여자들 중에 더 빛나 내게로 다가와 줘 right now 진짜를 보여줄게 halo 어떤 말도 널 대신 표현할 순 없겠어 you are so gorgeous im your soldier ohh baby 널 보는 순간 한순간 얼음이 됐어 난 푹 빠져 버렸어 다른 놈들 말고 바로 나야 네가 찾던 남자는 다름 아닌 나 다른 놈들 말고 바로 나야 네가 찾던 남자는 다름 아닌 나 better better better better than you 다 준비됐는데 뭘 망설이는데 girl we go on fly now we go on fly high 허세 따위 부리지는 않아 강한 척 따윈 보이지는 않아 believe me believe me can you believe that 다른 놈들 말고 다른 놈들 말고 다른 놈들 말고 다른 놈들 말고 다른 놈들 말고
3,You,Dan G,I’m standing on the bridgeWith a broken watch and silenceDamn damnI don’t know where I’m nowWon’t you take me out of hereWhere should I goTell me tell me the way outSo I can get upFly to the skyJust like the satelliteRun and run from hereLet me go back in the dayswith you you you youBecause it’s always you you youBecause it’s always you you youWhat the hell I’m doing hereWith nowhere left to goDamn damnAll I want for now is youCan you take me out of here nowSo I can get upFly to the skyJust like the satelliteRun and run from hereLet me go back in the dayswith you you you youBecause it’s always you you youBecause it’s always you you you heyBecause it’s always you you you heyBecause it’s always you you you heyBecause it’s always you
4,내일이 오면 (Idol Pop Ver.),급식왕 (두더지),하루 반복된 시간변하지 않는 오늘하루 시간이 흘러내일이 올 수 있을까혹시라도 내일날 기억한다면기적이야넌 엉킨 머리카락푸는 샴푸 같아단발머리 흰 머리띠이 노랠 듣고 있다면내일도 기억 해줄래오 제발 시간이여흘러 주겠니째깍 내일이 오면째깍 내일이 오면아무 일 없던 척째깍 내일은 올까지루했던 일상 속에네가 있어서버틸 수 있어용기 내서 말할 거야째깍 내일이 오면하루 똑같은 일상온종일 너를 생각해하루 또 하루가 지나다시 널 만나게 될까너와 함께 했던긴 시간 속에서따스했어넌 엉킨 시간 사이흐르는 음악 같아단발머리 흰 머리띠이 노랠 듣고 있다면내일도 기억 해줄래오 제발 시간이여흘러 주겠니째깍 내일이 오면째깍 내일이 오면아무 일 없던 척째깍 내일은 올까지루했던 일상 속에네가 있어서버틸 수 있어용기 내서 말할 거야째깍 내일이 오면
5,저녁 하늘의 너,텔린 킴,뜨거운 태양 아래타는 줄 모르고 놀던 그때처럼맘이 이끄는 대로 가볼래눈부신 미래로 ride up the sky너의 가슴속에 울리는피아노 소리청량한 하늘빛의 멜로디 ooh기억해봐빛나던 너의 마음을이젠 더이상 두려움은 없는내일을 향해 함께 할께뜨거운 태양 아래타는 줄 모르고 놀던 그때처럼맘이 이끄는 대로 가볼래눈부신 미래로 ride up the skyYou don't have to think too muchI'm telling youI'll be always by your sideWe're a best teamand always on eachs othersforevermoreAlways저 달이 만들어낸 그림자에비춰진 네 모습은그 누구보다 아름다워So let's live in love뜨거운 태양 아래타는 줄 모르고 놀던 그때처럼맘이 이끄는 대로 가볼래눈부신 미래로 ride up the sky뜨거운 태양 아래타는 줄 모르고 놀던 그때처럼맘이 이끄는 대로 가볼래눈부신 미래로 ride up the sky저기 높은 빌딩 사이에 있는우리가 잊고 지낸 수많은 날이젠 눈을 씻고 세상을 봐봐The light that flows from you뜨거운 태양 아래타는 줄 모르고 놀던 그때처럼맘이 이끄는 대로 가볼래눈부신 미래로 ride up the sky뜨거운 태양 아래타는 줄 모르고 놀던 그때처럼맘이 이끄는 대로 가볼래눈부신 미래로 ride up the sky
6,Under Control,MEEKMATT,I wanna tell you something Listen After I lay baby you Miss me Livin the my best life is why I like I never like my words you think Feels right You wanna tell me to stop Try to Wanna make shades on my ass Rider Your not ok with my goals You won't take my love under control Listen out There's nobody to tell me stop I said I wanna be on top I said I wanna be a queen wearing damenson what I mean It's like I wanna live my life Take it all baby not survive All the feelings I had inside gone long gone I wanna tell you something ListenAfter I lay baby you Miss meLivin the my best lifeis why I likeI never like my wordsyou think Feels rightYou wanna tell me to stop Try toWanna make shades on my ass RiderYour not ok with my goalsYou won'ttake my loveunder control Listen outThere's nobody to tell me stopI said I wanna be on topI said I wanna be a queenwearing damenson what I meanIt's like I wanna live my lifeTake it all babynot surviveAll the feelings I had insidegone long gone
7,밤샜다 (Up All Night),GHOST9(고스트나인),인정 솔직히내가 답답하게만 굴었지이런 설렘이처음이라 당황스러워나도 바보같이운동장 열 바퀴 달린 듯빨라지는 my heart빨라지는 heart내 숨 가쁜 고백 너만 들어줘1 2 3설레는 BOOM너 땜에 나 밤샜다우린 이 사랑 결국 펼쳤다눈 감아도 널 그리다 잠 못 자늘 옆에서 내 짝이 되어줘산을 오르네도와줘 숨이 차 my baby널 위해 부를 거야눈 감아도 널 그리다 잠 못 자알고 싶어 일렁여 내 맘너와 나 사랑을 펼쳤다말한 대로 됐잖아예뻐 보여 저 밤하늘네가 너무 궁금해필요해 너의 Q&A만나 아침부터 밤까지찰칵 이 사진은 썸네일 각모든 감정들이 놀라워We are forever솜사탕보다 너의 이름이달콤하게 들려예쁘게 들려아침에 눈 뜨면 바로 전화 줘1 2 3설레는 BOOM너 땜에 나 밤샜다우린 이 사랑 결국 펼쳤다눈 감아도 널 그리다 잠 못 자늘 옆에서 내 짝이 되어줘산을 오르네도와줘 숨이 차 my baby널 위해 부를 거야눈 감아도 널 그리다 잠 못 자알고 싶어 일렁여 내 맘너와 나 사랑을 펼쳤다우리 둘 만나고시간 보면 2시 22분진짜 신기해 지금세상을 다 가진 기분널 보면 웃음이 나와잘 안돼 내 표정 관리이 정도면 우린 Destiny나가자 빨리그렇게 완벽하면 반칙자꾸만 커져가는 확신계속 직진해내 손 꼭 잡아다시 태어난대도당연히 서롤 알아볼 거야1 2 3설레는 BOOM너 땜에 나 밤샜다우린 이 사랑 결국 펼쳤다눈 감아도 널 그리다 잠 못 자늘 옆에서 내 짝이 되어줘산을 오르네도와줘 숨이 차 my baby널 위해 부를 거야눈 감아도 널 그리다 잠 못 자알고 싶어 일렁여 내 맘다가와 줘 지금 내 품에우린 사랑을 펼쳤다
8,Couple,영화처럼,예전보다 지금 니가더욱 괜찮을 거야허전했던 나의 빈 곳을이젠 채워 줬으니아름다운 세상에서많이 외로워하며내 반쪽을 찾아 헤맨 건모두 옛날 얘긴걸내 생애 이 시간만을얼마나 기다렸는지마치 꿈만 같은 걸이젠 나 혼자가 아닌너와 함께 하는거야Oh LOVE 왜 이제서야많이 외롭던 나를 찾아온거야Oh LOVE 너를 사랑해이제 모든 시간들을 나와 함께해Oh Love너가 받아줄까 All of meIf you want it 뭐가 어렵니다 안겨줄게 너의 품에너와 스친 손등에너의 마음이 남은 듯해시간은 천천히 흘러널 향한 마음만큼의 걱정이나를 가로막기 전에 말할게이제 너의 내일을 그려줘얼마나 수많은 날을기다려 왔는 줄 아니이젠 모두 앞에서너의 손을 꼭 붙잡고우린 함께 하는 거야Oh LOVE 왜 이제서야많이 외롭던 나를 찾아온 거야Oh LOVE 너를 사랑해이제 모든 시간들을 나와 함께해과거 따윈 모두 잊고 나와 함께 할많은 시간을 추억으로 만들어Oh LOVE 왜 이제서야많이 외롭던 나를 찾아온 거야Oh LOVE 너를 사랑해이제 모든 시간들을 나와 함께해
9,Fly far,유비유 (youbeyou),세상은 네모로만 가득해서내게 남은 사랑도 이젠 없겠지다시 따뜻해질 마음도이미 다 써버렸어늘 그 자리였던 것도 떠나버렸네누구에게나 보이는 줄 알고바보 같은 시간을 흘려보냈네아무에게 안 보이는 줄 알고별 소용없는 발버둥만la la la fly 날아언제나 바라왔던 그곳으로la la la fly 떠나오래도록 꿈꿔왔던 대로Fly far away with meFly far away with me빠른 걸음 속에 변해가는 걸바라보는 건 너무 힘들어시작이란 건 곧 끝을 향한다는 걸소중한 것들 다 떠나버렸어누굴 만나도 즐겁지가 않아요즘은 그래이런 말도 이젠 뻔해하고 싶은 것도 딱히 없고 그래그냥 그래뭘 해도 사는 게 다 이래la la la fly 날아언제나 바라왔던 그곳으로la la la fly 떠나오래도록 꿈꿔왔던 대로블럭 놀이하는 듯 조각조각끼워 맞춘 기준은 내려놓아적당히 벽쌓아 산산조각그깟 거 마음껏 부숴버려la la la fly 날아언제나 바라왔던 그곳으로la la la fly 떠나오래도록 꿈꿔왔던 대로
