,title,artist,lyrics
0,향기가 배게,올코튼,이른 아침 눈을 떠아직도 너의 향기가 남아은은하게 코끝에스치면 너의 하룰 알 것 같아향기가 배게 안아줘그리움에 익숙하지 않아서좋은 향기를 품으면네가 오늘도 보일 것 같아나 이별에 익숙하지 않아서너를 잊지 못하나 봐우리 사소했던 하나하나가 생각나잠시라도 내 방에 향기가밸 수 있게 다녀갔으면너의 향기가 그리워소란했던 그날처럼지금도 네가 내 옆에 남아투정 부리던 나에게쓰다듬으며 바라볼 것 같아이런 내 맘을 알아줘첫 이별에 익숙하지 않아서좋은 향기를 품으면네가 오늘도 보일 것 같아나 아직도 익숙하지 않아서너를 잊지 못하나 봐우리 다투던 그때도 생각나잠시라도 내 안에 향기가밸 수 있게 안아줬으면너의 향기가 그리워다시 한번 내 곁에 다가와지난날의 향기가 배게너의 향기를 남겨줘
1,내 첫사랑 (With 문빛),새봄 (saevom),처음 너를 만난 순간그 순간을 나는 기억해오락가락 왔다 갔다마치 내 마음만 같던햇살이 밝다가도 금세비가 내리던 그 해 봄 끝그렇게 넌 반짝였었지많은 사람 그 속에서익숙한 향기 스칠 때면어김없이 너는 항상어디선가 웃고 있었어조금의 망설임도 없이빠져들었던 그 미소에모든 게 다 눈부셨는데백 번을 그때로 되돌아간다면어쩌면 다시 천 번은 널 좋아할 거야매일 밤 무릎을 안고긴 상상하던 나를 넌 알까아마 절대 모를 거야입 맞추는 꿈을 꾸던 그날도싱숭한 밤 잠 못 든 채눈을 감고 널 그렸어수채화처럼 번지다가스며오는 너의 웃음좋아한다는 말보다더 좋아한단 말은 없을까꼭 내 마음만 같을 텐데백 번을 그때로 되돌아간다면어쩌면 다시 천 번은 널 좋아할 거야매일 밤 무릎을 안고긴 상상하던 나를 넌 알까아마 절대 모를 거야얼마나 널 안고 싶었는지도가닿을 수 없다는 걸 알지만그 순간의 네가 너라서 고마워이토록 고요한 어둠에 기대어아무도 몰래 숨겨온 나만의 이야기계절이 돌아서 언젠가같은 바람 불어온다면가볍게 실어 보낼래너를 많이 좋아했던 그날에
2,비춰줄 거야,유용호,해가 지고밤이 오고모든 게 다잠이 들 때면하늘은 온통수많은 별너의 위에서춤을 추고 있어눈을 감으면더욱 빛나는 것보이지 않으니그저 믿으면 돼불안할 때도네가 슬플 때도언제나 네 곁을지켜줄 거야시간이 흘러많은 게 변하고무뎌지게 되더라도이 마음은 여기에 남아서툴던 우릴 비춰줄 거야치기 어리던서툰 표현에도설레 잠 못 들던우리가 있었고마냥 웃다 보면너로 가득해서새벽을 깨우던우리가 있었어시간이 흘러많은 게 변하고무뎌지게 되더라도이 마음은 여기에 남아서툴던 우릴 비춰줄 거야오늘 더 말할게너를 좋아해이 맘 다 알 수 있도록많이 사랑해 너를 영원토록나 나나 나나나나나나 나나나 나나 나나나나나나 나나
3,봄 그리고 밤,연희다방,가만히 느껴지는 바람아찔하게 스치는 향기이렇게 모른 척만 하다가는금세 지나가 버릴 계절 같아주책 같아도 여는 창문날 부르는 봄 그리고 밤새로 산 신발을 꺼내 본다괜스레 전화를 걸어본다함께 걷자목소리 들으며같은 하늘같은 달 아래서내 바람이 닿는 전화 너머설레는 맘은 들리지 않길같이 걷자같은 봄을 맞으며어쩌면 밤새 걸을지 몰라네 숨결이 닿는 전화 너머떨리는 맘은 들리지 않길오늘도 그저 그런 하루지금 이 시간 문자 한 통이렇게 모른 척만 하다가는웃으며 널 못 볼 것만 같아서아무렇지 않은 척 해도날 깨우는 봄 그리고 밤홀로 걷고 있던 골목길이네 생각으로 가득하더라고함께 걷자목소리 들으며같은 하늘같은 달 아래서내 바람이 닿는 전화 너머설레는 맘은 들리지 않길같이 걷자같은 봄을 맞으며어쩌면 밤새 걸을지 몰라네 숨결이 닿는 전화 너머떨리는 맘은 들리지 않길함께 걷자목소리 들으며같은 하늘같은 달 아래서내 바람이 닿는 전화 너머설레는 맘은 들리지 않길함께 있는 것 같아서같은 봄을 맞으며어쩌면 밤새 걸을지 몰라네 숨결이 닿는 전화 너머떨리는 맘은 들리지 않길가만히 느껴지는 바람아찔하게 스치는 향기이렇게 모른 척만 하다가는금세 지나가 버릴 계절 같아
4,outsole,sewoong,기대는 달콤하게 와나의 영혼을 빼앗곤모두 불을 뿜듯 달아나겠지세상이 무너지는 기분나 고개를 저으며떠나온 자릴 다시 되찾지아무것도 다치지 않았길차라리 마음을 추슬러네가 춤을 추는게 보여난 닳아 없어질 듯 뒤척거리기만다시 조용히 호흡을 뱉어내겐 차라리 이게 더나는 차라리 이대로조용히 있는게 맞는걸그 때의 시끄러운 소음을잊는다는 건 아니고 그냥 뭐그때의 바람이 불면 또모르는 척 고개를 저을래괜찮냐고 하면난 그냥 그런척하겠어긴말은 필요하지 않겠지도망을 어서 떠나야겠어또 지워버릴 거면또 그냥 그럭저럭하겠어미지근하게 데워진두려움과 설렘 그 사이에서아무것도 변하지 않았길난 내가 잃은 걸 추슬러네가 춤을 추는게 보여또 닳아 없어질 듯 뒤척거리기만다시 조용히 호흡을 뱉어내겐 차라리 이게 더나는 차라리 이대로조용히 있는게 맞는걸그 때의 시끄러운 소음을잊는다는건 아니고 그냥 뭐그 때의 바람이 불면 또모르는 척 고개를 저을래이젠 모든 걸 비워야 할 때나는 여운이 줄지를 않네여기 닳고 닳은 것과어려운 게 이렇게 많았나내게 조그만 눈길도 주지 않던너의 마음에 관하여다시 가벼워 질 때쯤모르는 척 고개를 저을래
5,우리엄마,개미친구 (gamichingoo),덜컹덜컹 아빠차 뒤에 누나랑 나랑 조수석엔 항상 우리 엄마 예쁜 우리 엄마가 졸고있어 덜컹덜컹 아빠차 뒤에 누나랑 나랑 조수석엔 항상 우리 엄마 예쁜 우리 엄마가 졸고있어 엄마가 너무좋아 마마보이 flow 어떤 여자도 비교가 안되보이거든 하지만 엄마옆엔 나랑 닮은 더 멋진놈 있어 샷아웃투 아빠 그래서 닮은 여자를 찾아 헤메 멀리 옴 너무편하지만 상처없는 진솔한 talkin uh 내겐 real 설리반 또 최고의 요리사 내 넘버 스웩은 엄마아들로 태어난 생년월이야 음악은 내가 아는 가장 와닿는 표현 그래서 내가 가진 사랑과 닮은 이 걸 불러 엄마 있을까몰라 이보다 아름다운말 베이비시터로써 애들한테 하시는거보며 내가 어떻게 사랑받았는가를 대충 짐작 정돈 돼 복에 겨워 목구멍에 홍수 날듯 울컥 댐 죄책감은 무지에서 오는걸 느껴 희생은 언제나 맴찢 그게 내가 이유일땐 그정도 안끝나서 문제지 난 정말 괜찮아져야해 자본주의가 어쩌면 은혜 갚을수있다고하네 덜컹덜컹 아빠차 뒤에 누나랑 나랑 조수석엔 항상 우리 엄마 예쁜 우리 엄마가 졸고있어 덜컹덜컹 아빠차 뒤에 누나랑 나랑 조수석엔 항상 우리 엄마 예쁜 우리 엄마가 졸고있어 덜컹덜컹 아빠차 뒤에 누나랑 나랑 조수석엔 항상 우리 엄마 예쁜 우리 엄마가 졸고있어 덜컹덜컹아빠차 뒤에누나랑 나랑조수석엔항상우리 엄마예쁜 우리 엄마가 졸고있어
6,With You,네이비쿼카 (NavyQuokka),해가 뜨는 순간도 날이 저물 때도매일 함께해 준 너에게 고마워지는 해를 보면서 날 사랑한다고말해주는 네가 있어서 난 고마워I’m falling in love with you아직도 널 보면 음구름 위를 걷는 기분이 들어I’m falling in love with you날 바라보는눈빛 속에 빠져버린 것 같아설레는 기분 매일을 봐도질리지가 않아 넌 같은 맘인가 봐Forever wanna be with you해가 뜨는 순간도 날이 저물 때도매일 함께해 준 너에게 고마워지는 해를 보면서 날 사랑한다고말해주는 네가 있어서 난설레는 기분 매일을 봐도질리지가 않아 넌 같은 맘인가 봐Forever wanna be with you해가 뜨는 순간도 날이 저물 때도매일 함께해 준 너에게 고마워지는 해를 보면서 날 사랑한다고말해주는해가 뜨는 순간도 날이 저물 때도매일 함께해 준 너에게 고마워
7,코끼리를 삼킨 보아뱀(feat.스카이민혁),허영준,사람들은 보이는 것만 본다겉만 보잖아 진짜 내용은 몰라네가 본건 모자겠지만 은 난 달라내가 본건 보아 뱀 안의 코끼리야힘들어도 달린다 그게 내 원칙이야죽을 때까지 한다 아마 성공한 뒤야시작은 미약 발전은 무한그 형 말이 맞아 그러니 달리자look안되는 건 없지 노력이 답이니못한 게 아니지 안 했지 귀찮으니인생은 비탈길이라며 피하지망하는 애들은 비슷하지 뻔하니그들은 봐 성공한 사람들을재능이라 하고 무시하지 노력을당장 눈에서 보이는 것만 보니깐안쪽은 모르니깐 내용을 모르니깐이미 정해놓은 길만을 선택하라 하네가라 하네 내 의지는 절대 안 중요하네지들이 막아놓고말하지 포기 좀 해라넌 기횔 줘도 못하니너 그만 좀 나대라나한테 계란을 주고바위를 깨라 하니불가능하지 시간이 부족해 너무 많이몸이 안 따라줬다고 난 하고 싶었다고변명이 아니라고 날 제발 믿어주라고답은 하나가 아니야두 눈으로 봤어 아닌걸 알아사람들은 이 사실을 잘 몰라아직 몰라 재능만이 아냐양 한마릴 그려 줄래다시 한마릴 그려 줄래한번 더 다시 그려줄수있니한번 더 다시 그려줄수있니사람들은 보이는 것만을 본다겉만 보잖아 진짜 내용은 몰라네가 본건 모자겠지만 은 난 달라내가 본건 보아 뱀 안의 코끼리야힘들어도 달린다 그게 내 원칙이야죽을 때까지 한다 아마 성공한 뒤야시작은 미약 발전은 무한그 형 말이 맞아 그러니 달리자힙합한다니 내게 모자른 놈그리고 혼내지 토달라서내 꿈을 무시하고 로또나 사러 가는아빠의 뒷 모습은 loser시작할땐 그저 힙찔이이젠 내가 삼킨코끼리를 뱉어 볼게키작던 고삐리는 이젠 어엿한래퍼로 불리지 slatt사람들은 보이는 것만을 본다겉만 보잖아 진짜 내용은 몰라네가 본건 모자겠지만 은 난 달라내가 본건 보아 뱀 안의 코끼리야힘들어도 달린다 그게 내 원칙이야죽을 때까지 한다 아마 성공한 뒤야시작은 미약 발전은 무한그 형 말이 맞아 그러니 달리자
8,사랑은 늘,한의령,찬바람 불던 밤가로수아래 홀로 앉아지나버린 시간의 기억을 되짚어가잔뜩새겨 버린그날의 아쉬움들 만이가득남아 나의 맘에 떠올라사랑을 늘 추억을 주고가그 시간은 늘 나를 맴돌아가득남아 나의 맘에 차올라이제는 다 지나간 이야기로이제는 마지막일 기억으로남아있길 기도해그렇게 잊혀지길 바랄께내가 널 지우는게너무도 겁이 났던걸까아직도 나 너무 니가 그리워사랑을 늘 추억을 주고가그 시간은 늘 나를 맴돌아가득남아 나의 맘에 차올라이제는 다 지나간 이야기로이제는 마지막일 기억으로남아있길 기도해그렇게 잊혀지길 바랄께시간이 멈춘걸까아직도 믿겨 지지가 않아이대로 그만 너를 보내는게정말 나에겐 그것밖에 없을지사랑은 늘 추억을 주고가그 시간은 오늘도 날 맴돌아가득남아 나의 맘에 차올라우리의 시간은 멈췄지만그시간안에 있을 널 기억해덮어둘께 모두언젠간 웃을테니 너와나
9,Sunday Morning (prod. facethieves),purple coin,물이 쏴아 좀 씻어 잠을 깨고 냉장고는 텅 비었어 내가 마실 주스 빼고 눈동자는 퀭 거울 보며 남은 눈곱 떼고 일은 오늘 안 할래 오늘 안 할래 날씨에 따라 난 안 나가고 플레이 모드 때때로 좀 나와라 연락엔 죄송 방안에 콕 이불 말아 밀린 영화를 보고 Do you know what I mean Know what I mean 이러다가 전화기를 꺼내 피자 바로 되죠 의외로 첨에는 계속 올바른 taster 귀찮은 fuck 메뉴 pick은 easy & faster Do you know what I mean Woo la woo whoo 매일매일이 매일매일 I’m busy in life 휴식이 필요해 난 매일매일이 매일매일 I’m busy in life 휴식이 필요해 난 I need SUNDAY I need SUNDAY MORNING I need SUNDAY I need SUNDAY MORNING 누웠을 때면 yeah 이대로가 좋아 But 계속 그랬을 때는 uh 다시 돌릴 수가 없지 원래 게으름이란 건 마약과도 같아 고민해 나는 백만 번 또다시 난 Go hard 또다시 난 Go hard 또다시 난 Go hard 부스 안에 있다 보니 어두워 해가 벌써 졌네 또다시 난 Go hard 이런 생활이 난 좋아 꿈꾸던 삶을 사니 기분이 매일 같이 birthday 올해 끝날때면 발매 참여곡이 백곡 21년 국힙 신인상은 바로 내꺼 그건 내가 휴일 없이 달린 것의 댓가 그래도 가끔은 쉬고 싶은 기분 드는건 왜일까 매일매일이 매일매일 I’m busy in life 휴식이 필요해 난 매일매일이 매일매일I’m busy in life휴식이 필요해 난I need SUNDAYI need SUNDAY MORNINGI need SUNDAYI need SUNDAY MORNING
