,title,artist,lyrics,mfcc,genre
0,Save,NCT 127,Too many satellites above떨어져도 너에게 데려다줬어We bond it by the love우리는 어디서든 붙어있어On the way memories go난 잊기 싫어 모든 순간들 ohOn the way the melody goesAll the things that in my sight127 til infinite timeSaving you saving me미래의 기억Saving you saving meUnconditionalSaving you saving meMemories of loveAll the things that in my sight127 til infinite timeDanceMemories of loveSave you save me save our memoriesTake you take metake us to infinityMemories of loveSave you save me save our memoriesTake you take metake us to infinityMemories of love같은 자리에 머물던그땐 항상 입가에는 포물선널 만나고 보물섬에 arrival마음 안에 전부 담았어On the way memories go사랑을 멈추기는 싫어 no저기 은하수를 넘어서 goStarlight shining bright127 til infinite timeSaving you saving me미래의 기억Saving you saving meUnconditionalSaving you saving meMemories of loveAll the things that in my sight127 til infinite timeDanceMemories of loveSave you save me save our memoriesTake you take metake us to infinityMemories of loveSave you save me save our memoriesTake you take metake us to infinityMemories of loveUh out of sight out of mindNo longerthey ain’t the same thing시 공간 그 무엇과도우릴 떼어 놓을 수 없으니Out of sight out of mind그거 다 옛말우리 무대는 우주고이건 space operaSaving you saving me미래의 기억Saving you saving meUnconditionalSaving you saving meMemories of loveAll the things that in my sight127 til infinite timeSave you save me save our memoriesTake you take metake us to infinitySave you save me save our memoriesAll the things that in my sightMemories of love,"[[-492.10013 -492.10013 -492.10013 ... -492.10013 -492.10013 -492.10013]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]",dance
1,Sun Dance (feat.한해),Angelina Danilova,You take me to the stars Flying highway Touching skies I want to sundance together Say you want it too I want to hear it say you do It’s gonna be alright We gonna stay awake yeah Loving like this makes me wonder why Can we exist on the other side If you still doubt me honey don’t play You gotta be honest or walk away One thing you can’t deny for sure Each time we touch it’s not so pure We feel this electricity Let’s run away from this city I want to feel to know to hear tell me now now tell me In dance we are gonna disappear You take me to the stars Flying highway Touching skies I want to sundance together Say you want it too I want to hear it say you do It’s gonna be alright We gonna stay awake yeah it's gonna be alright 준비는 다 끝났으니까 구름 위로 가 i'll take you high 어지러운 삶 제껴 버리고 우리 길을 만들어가 길이 막혀 있음 우리 딴 데로 가 가운데로 아니 그냥 맘대로 가 나한테 밀어버려 책임 내가 다 감싸 안을 테니 더 위로 굴지 말자고 애처럼 첫눈에 spark 일어날 때처럼 첫눈 오는 날 키스할 때처럼 빨리지는 호흡 달라지는 metronome oh yeah 너도 나와 맘이 같은지 oh yeah 내 손을 잡아 따라와 let's sundance It’s time for us to loose our cool you and me let’s go-oh I want to dance for all night long You take me to the starsFlying highwayTouching skiesI want to sundance togetherSay you want it tooI want to hear it say you doIt’s gonna be alrightWe gonna stay awake yeah,"[[-463.4937 -463.4937 -463.4937 ... -463.4937 -463.4937 -463.4937]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 ...
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]]",dance
2,Couple,영화처럼,예전보다 지금 니가더욱 괜찮을 거야허전했던 나의 빈 곳을이젠 채워 줬으니아름다운 세상에서많이 외로워하며내 반쪽을 찾아 헤맨 건모두 옛날 얘긴걸내 생애 이 시간만을얼마나 기다렸는지마치 꿈만 같은 걸이젠 나 혼자가 아닌너와 함께 하는거야Oh LOVE 왜 이제서야많이 외롭던 나를 찾아온거야Oh LOVE 너를 사랑해이제 모든 시간들을 나와 함께해Oh Love너가 받아줄까 All of meIf you want it 뭐가 어렵니다 안겨줄게 너의 품에너와 스친 손등에너의 마음이 남은 듯해시간은 천천히 흘러널 향한 마음만큼의 걱정이나를 가로막기 전에 말할게이제 너의 내일을 그려줘얼마나 수많은 날을기다려 왔는 줄 아니이젠 모두 앞에서너의 손을 꼭 붙잡고우린 함께 하는 거야Oh LOVE 왜 이제서야많이 외롭던 나를 찾아온 거야Oh LOVE 너를 사랑해이제 모든 시간들을 나와 함께해과거 따윈 모두 잊고 나와 함께 할많은 시간을 추억으로 만들어Oh LOVE 왜 이제서야많이 외롭던 나를 찾아온 거야Oh LOVE 너를 사랑해이제 모든 시간들을 나와 함께해,"[[-496.1424 -496.1424 -496.1424 ... -496.1424 -496.1424 -496.1424]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 ...
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]]",dance
3,Fly far,유비유 (youbeyou),세상은 네모로만 가득해서내게 남은 사랑도 이젠 없겠지다시 따뜻해질 마음도이미 다 써버렸어늘 그 자리였던 것도 떠나버렸네누구에게나 보이는 줄 알고바보 같은 시간을 흘려보냈네아무에게 안 보이는 줄 알고별 소용없는 발버둥만la la la fly 날아언제나 바라왔던 그곳으로la la la fly 떠나오래도록 꿈꿔왔던 대로Fly far away with meFly far away with me빠른 걸음 속에 변해가는 걸바라보는 건 너무 힘들어시작이란 건 곧 끝을 향한다는 걸소중한 것들 다 떠나버렸어누굴 만나도 즐겁지가 않아요즘은 그래이런 말도 이젠 뻔해하고 싶은 것도 딱히 없고 그래그냥 그래뭘 해도 사는 게 다 이래la la la fly 날아언제나 바라왔던 그곳으로la la la fly 떠나오래도록 꿈꿔왔던 대로블럭 놀이하는 듯 조각조각끼워 맞춘 기준은 내려놓아적당히 벽쌓아 산산조각그깟 거 마음껏 부숴버려la la la fly 날아언제나 바라왔던 그곳으로la la la fly 떠나오래도록 꿈꿔왔던 대로,"[[-488.903 -488.903 -488.903 ... -488.903 -488.903 -488.903]
 [   0.       0.       0.    ...    0.       0.       0.   ]
 [   0.       0.       0.    ...    0.       0.       0.   ]
 ...
 [   0.       0.       0.    ...    0.       0.       0.   ]
 [   0.       0.       0.    ...    0.       0.       0.   ]
 [   0.       0.       0.    ...    0.       0.       0.   ]]",dance
4,너 말고 너,최선,아리아리 아리아리 아리아리오아침부터 저녁까지 멍때리게 해멍때리게 해다 너 때문이지만 기분은 좋아기분은 좋아시작없이 어쩌다가알콩달콩 그리됐는지끝도 없이 도돌이표네버엔딩 이리됐는지아리아리 아리아리 아리아리오저녁부터 새벽까지 잠못들게 해잠못들게 해다 너 때문이지만 기분은 좋아기분은 좋아시작없이 어쩌다가알콩달콩 그리됐는지끝도 없이 도돌이표네버엔딩 이리됐는지이게 다 너 때문이지만너라고 다 너는 아냐너말고 너말고 너 너말고 너말고 너오직 한사랑너말고 너말고 너너말고 너말고 너 너 말고 너너말고 너말고 너 너말고 너말고 너너 말고 너 너 너아리아리 아리아리 아리아리오저녁부터 새벽까지 잠못들게 해잠못들게 해다 너 때문이지만 기분은 좋아기분은 좋아시작없이 어쩌다가알콩달콩 그리됐는지끝도 없이 도돌이표네버엔딩 이리됐는지이게 다 너 때문이지만너라고 다 너는 아냐너말고 너말고 너 너말고 너말고 너오직 한사랑너말고 너말고 너너말고 너말고 너 너 말고 너너말고 너말고 너너말고 너말고 너 너 말고 너너 말고 너 너 너 너 말고 너 너 너너 말고 너 너 너,"[[-464.8387 -464.8387 -464.8387 ... -464.8387 -464.8387 -464.8387]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 ...
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]
 [   0.        0.        0.     ...    0.        0.        0.    ]]",dance
5,Sunflower(feat.손다예),김세아,오늘도 네 곁을 맴돌아항상 널 생각하는 난데너도 날 한 번 쯤 생각하면 좋겠어이건 내 욕심인걸까오늘은 네게 말할까너를 너무 좋아한다고네 맘도 나로 차올랐음 좋겠어언제쯤 그 날이 올까난 정말 정말 모르겠어네 맘을 내게 알려줄래좋아해 이 말 한 마디가입에서 자꾸만 맴돌아그렇게 바라보면 곤란해또 나만 설레이게 만들어그렇게 안아주면 어떡해너만 바라보는 난 Sunflower오늘은 진짜 말할까네가 너무 보고싶다고네 맘도 날 바라봐주면 좋겠어언제쯤 그 날이 올까난 정말 정말 모르겠어네 맘을 내게 보여줄래사랑해 이 말 한 마디가입에서 자꾸만 맴돌아그렇게 바라보면 곤란해또 나만 설레이게 만들어그렇게 안아주면 어떡해너만 바라보는 난 Sunflower좋아한다고 말하기 무서워더 다가가지 못했어오늘도 날 비춰주는 너에게한 걸음 씩 다가가볼까해그렇게 바라보면 곤란해또 나만 설레이게 만들어그렇게 안아주면 어떡해너만 바라보는 난 Sunflower사실은 너를 정말 좋아해나 이제 용기 내 말해볼게나 지금 네가 너무 보고싶어나는 너만을 위한 Sunflower,"[[-4.4875507e+02 -2.5125890e+02 -2.0338284e+02 ... -5.6385663e+02
  -5.6385663e+02 -5.6385663e+02]
 [ 7.2840286e+01  1.3252390e+02  1.4900137e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-3.4694534e+01 -6.9179291e+01 -6.5906662e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 1.0649967e+01  4.9071488e+00 -5.1646495e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.4282262e+00 -4.0921736e+00 -4.0269370e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-7.2118258e+00 -1.5029642e+01 -1.7886120e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",dance
6,We,유체리쉬 (Yucherish),오늘은 그냥 왠지슬픈 감정이 느껴지는 건지이따 뭐해 만나잔 너의 MessageWhy do i Feel so sad오늘은 널 피할 거야하루종일 바쁠 예정내 예감이 맞는다면너는 진짜 나쁜 쓰레기야You've Got Another girl우리 둘이 단둘이그려왔던 그림은 행복했는데우리 둘이 단둘이웃고있는 사진을 태워버릴래맑았던 하늘에 갑자기먹구름이 껴버렸어흐르는 내 눈물이비에 젖어 눈물범벅이 돼버렸어이미 나는 눈치챘어알면서도 모르는 척이런 내가 불쌍하다면아무 말도 말고 떠나가You're so bad boy우리 둘이 단둘이그려왔던 그림은 행복했는데우리 둘이 단둘이웃고 있는 사진을 태워버릴래시간이 흐르고 지나서언젠가 널 만나면비웃어줄 거야오늘은 좀 슬프지만그래 보내줄게우리 둘이 단둘이우리 둘이 단둘이우리 둘이 단둘이우리 둘이 단둘이,"[[-502.79037 -502.79037 -502.79037 ... -502.79037 -502.79037 -502.79037]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]",dance
7,로티로리송 2,롯데월드,로티 로리 로리 로티 로리 로로티 로리 로리 로티 로리 로귀여워 널 만나면 마음이 말랑말랑룰룰룰 룰랄라로티 로리 로리 로로티 로리 로리 로티 로리 로로티 로리 로리 로티 로리 로용감해 널 만나면 심장이 심쿵심쿵로 로티 로리 로로티 로리 로로티 로리 로롤롤로 로티롤롤로 로리로티 로리 로로티 로리 로롤롤로 로티롤롤로 로리로티 로리 로리 로티 로리 로로티 로리 로리 로티 로리 로오늘은 너랑 나랑 신나게 놀아볼까룰룰룰 룰랄라로티 로리 로리 로로티 로리 로리 로티 로리 로로티 로리 로리 로티 로리 로오늘은 너랑 나랑 모험을 떠나볼까신비의 나라로환상의 나라로,"[[-572.47974   -572.47974   -242.04726   ... -572.47974   -572.47974
  -572.47974  ]
 [   0.           0.          84.51699   ...    0.           0.
     0.       ]
 [   0.           0.          -1.4666946 ...    0.           0.
     0.       ]
 ...
 [   0.           0.           2.1392188 ...    0.           0.
     0.       ]
 [   0.           0.          -6.5431194 ...    0.           0.
     0.       ]
 [   0.           0.           2.1712384 ...    0.           0.
     0.       ]]",dance
8,동네 친구 (Feat. 김희서),성춘,주말에 혼자 맥주를 마시다문득 네 생각이 났어같은 동네 살면서마주친 적은 없어매일 어디에 있는 거야사실 집으로 돌아올 때마다유난히 날씨가 좋을 때도괜히 익숙한 뒷모습 보이면슬금슬금 네가 떠오른단 말야나도 동네 친구가 있음 좋겠어아무 때나 불러도 볼 수 있는너랑 동네 친구라도 됐음 좋겠어혹시 모르잖아 밤에 산책이라도 갈지어쩌다 혼자 공원을 거닐다문득 네 생각이 났어같은 동네 사는데한 번 연락해 볼까지금 뭐 하고 있으려나사실 집으로 돌아올 때마다유난히 날씨가 좋을 때도괜히 익숙한 뒷모습 보이면슬금슬금 네가 떠오른단 말야나도 동네 친구가 있음 좋겠어아무 때나 불러도 볼 수 있는너랑 동네 친구라도 됐음 좋겠어혹시 모르잖아 밤에 산책이라도 갈지혹시 모르잖아 밤에 산책이라도 갈지혹시 모르잖아 밤에 산책이라도 갈지혹시 모르잖아 밤에 산책이라도 갈지혹시 모르잖아 밤에 산책이라도 갈지나도 동네 친구가 있음 좋겠어아무 때나 불러도 볼 수 있는너랑 동네 친구라도 됐음 좋겠어혹시 모르잖아 밤에 산책이라도 갈지,"[[-476.99057 -476.99057 -476.99057 ... -476.99057 -476.99057 -476.99057]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]",dance
9,꿈의 나라,양하영,수도국산 힘들고배고픈 시절에도 꿈키웠네배다리 헌책방 골목에서자유공원 오르며짝사랑도 품었네푸르른 추억이여청춘의 추억이여세월지나 상전벽해하늘도시 국제도시바다위에 누워서까만 별빛 헤면서세계로 간다 기차를 타고목청을 높여 크게 크게친구들아 외쳐보자잘생기고 어여쁜 인천알고보면 멋있는 인천섬마을이 백육십팔개역사깊은 문화의 나라꿈의 나라 꿈의 나라푸르른 추억이여청춘의 추억이여세월지나 상전벽해하늘도시 국제도시바다위에 누워서까만 별빛 헤면서세계로 간다 기차를 타고목청을 높여 크게 크게친구들아 외쳐보자잘생기고 어여쁜 인천알고보면 멋있는 인천섬마을이 백육십팔개역사깊은 문화의 나라꿈의 나라 꿈의 나라,"[[-502.98065 -502.98065 -502.98065 ... -502.98065 -502.98065 -502.98065]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]",dance
10,들려줘,클로디아 (Claudia),용기 내 너를 꼭 안아준다면한 번쯤 내 맘을 돌아봐주길 바래햇살 가득 눈이 부신 날이면상상해 두 손 잡은 너와 나울렁거린 나의 마음이밤 새워 준비한 선물이지금 이 순간 너에게전해지고 있는걸까내게 들려줘 너에게만 오는 벨소리내게 보여줘 내게만 달콤 Smile내 맘을 숨기려 해봐도 Not okay우린 이미 알고 있어 너와 나I want you My Lover Ring Ring Ringbounce bounce bounceI want you My Lover You make mebounce bounce전화기를 넘어Ring Ring Ringbounce bounce bounce너와 나의 타이머You make me bounce bounce멀리서 너를 바라보는 내 맘시간이 멈춘 듯 너에게로 흘러가넋이 나간 듯이 핸드폰만 봐어떡해 정신없이 흔들어눈을 보는게 난 부끄러이리 오지 말고 답장해용기내 네게 다가가소중한 널 나에게만내게 들려줘 너에게만 오는 벨소리내게 보여줘 내게만 달콤 Smile내 맘을 숨기려 해봐도 Not okay우린 이미 알고 있어 너와 나I want you My Lover Ring Ring Ringbounce bounce bounceI want you My Lover You make mebounce bounce전화기를 넘어 Ring Ring Ringbounce bounce bounce너와 나의 타이머 You make mebounce bounce한 번이라도 내 맘이 너에게 닿길나의 심장이 쿵 My Baby언제라도 난 네 곁에한 걸음에 달려갈게눈을 감아도 내 맘엔 너만 보여너를 좋아하는 내 맘 너만 몰라맘을 숨기려 해봐도 Not okay우린 이미 알고 있어 너와 나I want you My Lover Ring Ring Ringbounce bounce bounceI want you My Lover You make mebounce bounce전화기를 넘어 Ring Ring Ringbounce bounce bounce너와 나의 타이머 You make mebounce bounce,"[[-479.97552 -479.97552 -479.97552 ... -479.97552 -479.97552 -479.97552]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 ...
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]
 [   0.         0.         0.      ...    0.         0.         0.     ]]",dance
